tipo_post;post_id;post_link;link;link_domain
photo;71339054219_10150413324184220;https://www.facebook.com/71339054219/posts/10150413324184220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10150413324124220/?type=3;facebook.com
photo;71339054219_10150413443874220;https://www.facebook.com/71339054219/posts/10150413443874220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10150413443824220/?type=3;facebook.com
status;71339054219_10150413630589220;https://www.facebook.com/71339054219/posts/10150413630589220;\N;\N
photo;71339054219_10150415091409220;https://www.facebook.com/71339054219/posts/10150415091409220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10150415091369220/?type=3;facebook.com
link;71339054219_10150415540599220;https://www.facebook.com/71339054219/posts/10150415540599220;http://www.lanacion.com.ar/1430851-cambio-climatico?utm_source=FB&utm_medium=Cali&utm_campaign=1430851;lanacion.com.ar
photo;71339054219_10150417078469220;https://www.facebook.com/71339054219/posts/10150417078469220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10150417078429220/?type=3;facebook.com
photo;71339054219_10150555725529220;https://www.facebook.com/71339054219/posts/10150555725529220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10150555725464220/?type=3;facebook.com
status;71339054219_10150558348359220;https://www.facebook.com/71339054219/posts/10150558348359220;\N;\N
photo;71339054219_10150558612464220;https://www.facebook.com/71339054219/posts/10150558612464220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10150558612394220/?type=3;facebook.com
status;71339054219_10150560439199220;https://www.facebook.com/71339054219/posts/10150560439199220;;facebook.com
photo;71339054219_10150570557404220;https://www.facebook.com/71339054219/posts/10150570557404220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10150570557339220/?type=3;facebook.com
photo;71339054219_10151399265404220;https://www.facebook.com/71339054219/posts/10151399265404220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151399265384220/?type=3;facebook.com
photo;71339054219_10151399385214220;https://www.facebook.com/71339054219/posts/10151399385214220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151399385174220/?type=3;facebook.com
photo;71339054219_10151399770069220;https://www.facebook.com/71339054219/posts/10151399770069220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151399770004220/?type=3;facebook.com
photo;71339054219_10151399924054220;https://www.facebook.com/71339054219/posts/10151399924054220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151399783879220/?type=3;facebook.com
photo;71339054219_10151400657079220;https://www.facebook.com/71339054219/posts/10151400657079220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151400657044220/?type=3;facebook.com
photo;71339054219_10151400902334220;https://www.facebook.com/71339054219/posts/10151400902334220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151400902309220/?type=3;facebook.com
photo;71339054219_10151401071569220;https://www.facebook.com/71339054219/posts/10151401071569220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151401036094220/?type=3;facebook.com
photo;71339054219_10151401193179220;https://www.facebook.com/71339054219/posts/10151401193179220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151401193064220/?type=3;facebook.com
photo;71339054219_10151401348234220;https://www.facebook.com/71339054219/posts/10151401348234220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151401054789220/?type=3;facebook.com
photo;71339054219_10151402046104220;https://www.facebook.com/71339054219/posts/10151402046104220;https://www.facebook.com/lndeportes/photos/a.10150105386332789.285044.88057207788/10151522984587789/?type=3;facebook.com
photo;71339054219_10151402201609220;https://www.facebook.com/71339054219/posts/10151402201609220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151402201584220/?type=3;facebook.com
photo;71339054219_10151402275199220;https://www.facebook.com/71339054219/posts/10151402275199220;https://www.facebook.com/lndeportes/photos/a.10150105386332789.285044.88057207788/10151523231567789/?type=3;facebook.com
photo;71339054219_10151402469004220;https://www.facebook.com/71339054219/posts/10151402469004220;https://www.facebook.com/lanacion/photos/a.10150092000724220.273081.71339054219/10151402468974220/?type=3;facebook.com
